1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-74.22,-63.8,13.35,-67.79,40.28,-70.23,57.78,-74.95,119.54,-61.47,hi
-71.98,-65.63,15.57,-67.88,43.3,-69.33,60.9,-73.31,121.12,-59.64,hi
-71.35,-68.06,16.39,-67.69,43.46,-68.09,61.5,-71.56,122.21,-57.97,hi
-71.26,-70.8,15.58,-66.34,42.98,-66.51,61.18,-69.18,121.07,-56.03,hi
-72.66,-70.77,11.76,-65.29,38.54,-65.78,56.52,-68.39,122.36,-56.17,hi
-75.34,-71.03,8.49,-64.88,34.66,-65.48,52.43,-67.24,120.88,-57.25,hi
-77.39,-69.88,5.21,-65.13,30.93,-65.77,48.64,-67.63,120.03,-59.54,hi
-79.32,-68.59,1.82,-66.14,27.22,-67.15,43.99,-69.45,119.93,-62.23,hi
-80.94,-67.1,-0.51,-67.76,24.91,-69.29,40.82,-71.55,118.05,-64.97,hi
-81.64,-64.98,-3.51,-70.14,20.94,-72.69,35.77,-75.02,118.92,-67.96,hi
-80.78,-62.74,0.43,-71.98,26.6,-74.76,40.69,-77.83,118.9,-69.07,hi
-78.06,-61.13,7.01,-72.41,32.62,-74.95,46.68,-78.25,118.53,-68.44,hi
-73.39,-61.3,11.61,-71.25,38.37,-73.73,52.73,-77.23,118.44,-65.74,hi
-68.54,-63.27,16.88,-70.53,42.29,-72.07,57.74,-75.73,118.68,-63.01,hi
-65.79,-65.03,20.14,-70.26,45.69,-70.68,61.71,-74.29,118.84,-60.67,hi
-61.19,-67.63,25.47,-68.55,49.6,-67.39,65.4,-70.58,118.52,-57.8,hi
-64.89,-72.03,20.07,-64.71,44.71,-64.94,66.01,-67.92,119.72,-55.08,hi
-66.9,-72.95,14.75,-60.67,38.63,-62.93,62.6,-66.84,120.73,-54.32,hi
-69.73,-72.75,10.42,-60.59,33.48,-62.4,56.52,-66.12,121.57,-55.18,hi
-72.02,-70.95,7.13,-60.81,29.88,-62.74,52.49,-66.38,120.57,-56.38,hi
-73.93,-69.22,5.08,-61.47,27.0,-63.43,49.22,-67.51,120.31,-58.27,hi
-75.51,-67.04,3.54,-62.09,24.98,-64.83,46.23,-69.55,121.0,-60.27,hi
-75.2,-64.8,4.08,-64.7,25.42,-67.24,45.34,-72.5,121.66,-62.17,hi
-71.63,-60.65,9.08,-66.44,32.07,-69.44,51.4,-75.92,122.16,-63.13,hi
-65.54,-57.74,16.88,-66.36,41.26,-69.45,58.62,-77.25,121.62,-62.05,hi
-60.88,-58.47,20.93,-66.12,44.02,-68.52,62.47,-76.24,121.42,-60.23,hi
-57.2,-59.59,25.16,-65.56,48.19,-67.23,66.66,-74.48,120.9,-57.71,hi
-54.9,-61.75,27.65,-65.16,50.75,-65.73,69.31,-72.0,120.04,-55.25,hi
-53.41,-64.88,28.79,-64.37,51.29,-63.75,71.32,-68.6,119.48,-52.69,hi
-55.66,-67.42,27.77,-63.22,50.66,-62.27,72.68,-65.74,119.37,-50.24,hi
-67.11,-67.48,19.63,-60.09,47.11,-61.91,70.21,-64.87,120.05,-49.21,hi
-70.16,-67.37,14.84,-60.23,41.03,-61.47,63.78,-63.84,119.93,-50.4,hi
-71.07,-65.9,12.74,-60.18,38.77,-61.38,60.59,-64.11,118.8,-51.98,hi
-72.27,-64.81,9.98,-59.88,35.42,-61.52,56.77,-65.16,118.37,-53.83,hi
-72.6,-64.13,8.56,-60.38,33.81,-63.04,54.61,-66.9,118.39,-55.58,hi
-72.4,-63.07,6.98,-62.22,30.64,-64.61,50.23,-69.3,119.36,-57.93,hi
-69.53,-60.65,8.32,-64.75,32.45,-67.74,49.96,-73.45,119.96,-60.3,hi
-65.35,-58.36,16.04,-63.82,39.99,-68.29,57.68,-75.94,119.54,-60.36,hi
-58.76,-56.77,22.6,-63.11,46.14,-67.36,63.68,-75.65,118.76,-59.23,hi
-54.33,-57.45,25.19,-62.04,49.1,-65.9,66.9,-73.66,117.6,-57.08,hi
-49.81,-58.73,28.64,-61.3,52.59,-64.15,70.63,-71.34,116.92,-54.52,hi
